QB,Report,Note
Food Sales,Food,Sales Category - Net Sales
Bar Sales,Draft Beer | Bottled Beer | Wine | Liquor | N/A Beverages | Non-Grat Svc Charges,Sales Category - Net Sales
Discount/comp/error Adjustment,Sales discounts,Net Sales Summary
Tips Paid Out,Tips,Revenue Summary
boe,Tax amount,Revenue Summary
Customer Contribution,Service charges total,Service Charge Summary
Cash,Total of Cash,Payments Summary
CC25,Total of Credit/debit,Payments Summary
Gift Certificates,Total of Gift Card,Payments Summary
DOORD,DoorDash,Payments Summary - Other sub type
GrubH,Grubhub,Payments Summary - Other sub type
Ube,Uber Eats,Payments Summary - Other sub type
Over/Short,auto-balance,Calculated
