QB,Report,Note
Toast:Food Sales,Happy Hour | Kitchen | Sushi,Gross Sale
Toast:Bar Sales,Beer + Wine | Liquor | NA Bev | Non-Grat Svc Charges | Online Sales Order,Gross Sale
Discount/comp/Payment error,Sales discounts,Gross Sale
Tips,Tips + Gratuity,Revenue Summary
Sales tax,Tax amount,Revenue Summary
CASH 2021,Total of Cash,Payments Summary
Credit Card,Total of Credit/debit,Payments Summary
Gift Certificate Redeemed,Total of Gift Card,Payments Summary
Other,Other,Payments Summary
Over/Short,auto-balance,Calculated
