QB,Report,Note
Food sale,Food,Gross Sale
Bar sale,NA Beverage | Liquor | Bottled Beer | Draft Beer | Wine,Gross Sale
Discount/comp/error Adjustmen,Sales discounts,Gross Sale
Discount/comp/error Adjustmen:Refunds,Sales refunds,Net Sales Summary
Tips Paid Out,Tips,Revenue Summary
Tips Paid Out:Gratuity,Gratuity,Revenue Summary
MB Tax,MB Tax,Tax Summary
Sales tax,StateTax,Tax Summary
Marketplace Facilitator Taxes,Marketplace,Tax Summary
Credit card sales,Total of Credit/debit,Payments Summary
Cash,Total of Cash,Payments Summary
Gift Card,Total of Gift Card,Payments Summary
Doordash,DoorDash,Payments Summary - Other sub type
Grubhub,Grubhub,Payments Summary - Other sub type
Uber,Uber Eats,Payments Summary - Other sub type
Over Short,auto-balance,Calculated
