QB,Column,Type
UE Sales,Sum of Sales (excl. tax),item
UE Tax on Sales,Sum of Tax on Sales,item
UE Price Adjustments,Sum of Price adjustments (excl. tax),item
UE Tax on Adjustments,Sum of Tax on Price Adjustments,item
UE Offers,Sum of Offers on items (incl. tax),item
UE Offer Redemption Fee,Sum of Offer Redemption Fee,item
UE Marketplace Fee,Sum of Marketplace Fee,item
UE Other Payments,Sum of Other payments,item
UE Marketplace Tax,Sum of Marketplace Facilitator Tax,item
UE Payout,Sum of Total payout,payment
Over/Short,auto-balance,balance
