QB,Report,Note
Toast:Food Sales,Happy Hour | Kitchen | Sushi,Gross Sale
Toast:Bar Sales,Beer + Wine | Liquor | NA Bev | Non-Grat Svc Charges | Online Sales Order,Gross Sale
Discount/comp/Payment error,Sales discounts,Gross Sale
Gloria Food sales,null,
Tips,Tips + Gratuity,Revenue Summary
GF Tips,,
Sales tax,Tax amount,Revenue Summary
GF Sales tax,null,
Gift Cards Sold,,
Total,,
CASH 2021,Total of Cash,Payments Summary
Credit Card,Total of Credit/debit,Payments Summary
Gloriafood Online,null,
Gift Certificate Redeemed,Other,Payments Summary
Over/Short,auto-balance,Calculated
